source,problem,final_outcome,category,exception_type
manual_injection,host_incorrect_dns,5.0,nika_set,
manual_injection,host_incorrect_dns,5.0,nika_set,
manual_injection,host_incorrect_dns,5.0,nika_set,
manual_injection,host_missing_ip,5.0,nika_set,
manual_injection,host_missing_ip,5.0,nika_set,
manual_injection,host_missing_ip,5.0,nika_set,
manual_injection,host_incorrect_ip,5.0,nika_set,
manual_injection,host_incorrect_ip,5.0,nika_set,
manual_injection,host_incorrect_ip,5.0,nika_set,
manual_injection,host_incorrect_netmask,5.0,nika_set,
manual_injection,host_incorrect_netmask,5.0,nika_set,
manual_injection,host_incorrect_netmask,5.0,nika_set,
manual_injection,host_incorrect_gateway,5.0,nika_set,
manual_injection,host_incorrect_gateway,5.0,nika_set,
manual_injection,host_incorrect_gateway,5.0,nika_set,
manual_injection,host_ip_conflict,5.0,nika_set,
manual_injection,host_ip_conflict,5.0,nika_set,
manual_injection,host_ip_conflict,5.0,nika_set,
manual_injection,link_down,5.0,nika_set,
manual_injection,link_down,5.0,nika_set,
manual_injection,link_down,5.0,nika_set,
manual_injection,load_balancer_overload,5.0,nika_set,
manual_injection,load_balancer_overload,5.0,nika_set,
manual_injection,load_balancer_overload,5.0,nika_set,
manual_injection,sender_resource_contention,5.0,nika_set,
manual_injection,sender_resource_contention,5.0,nika_set,
manual_injection,sender_resource_contention,5.0,nika_set,
manual_injection,receiver_resource_contention,5.0,nika_set,
manual_injection,receiver_resource_contention,5.0,nika_set,
manual_injection,receiver_resource_contention,5.0,nika_set,
manual_injection,ospf_area_misconfiguration,5.0,nika_set,
manual_injection,ospf_area_misconfiguration,5.0,nika_set,
manual_injection,ospf_area_misconfiguration,5.0,nika_set,
manual_injection,ospf_neighbor_missing,5.0,nika_set,
manual_injection,ospf_neighbor_missing,5.0,nika_set,
manual_injection,ospf_neighbor_missing,5.0,nika_set,
manual_injection,frr_service_down,5.0,nika_set,
manual_injection,frr_service_down,5.0,nika_set,
manual_injection,frr_service_down,5.0,nika_set,
train_obs,host_incorrect_dns,1.0,nika_set,
train_obs,host_incorrect_dns,1.0,nika_set,
train_obs,host_incorrect_dns,1.0,nika_set,
train_obs,host_missing_ip,5.0,nika_set,
train_obs,host_missing_ip,5.0,nika_set,
train_obs,host_missing_ip,5.0,nika_set,
train_obs,host_incorrect_ip,5.0,nika_set,
train_obs,host_incorrect_ip,5.0,nika_set,
train_obs,host_incorrect_ip,5.0,nika_set,
train_obs,host_incorrect_netmask,5.0,nika_set,
train_obs,host_incorrect_netmask,5.0,nika_set,
train_obs,host_incorrect_netmask,1.0,nika_set,
train_obs,host_incorrect_gateway,5.0,nika_set,
train_obs,host_incorrect_gateway,5.0,nika_set,
train_obs,host_incorrect_gateway,1.0,nika_set,
train_obs,host_ip_conflict,5.0,nika_set,
train_obs,host_ip_conflict,1.0,nika_set,
train_obs,host_ip_conflict,5.0,nika_set,
train_obs,link_down,1.0,nika_set,
train_obs,link_down,1.0,nika_set,
train_obs,link_down,1.0,nika_set,
train_obs,load_balancer_overload,1.0,nika_set,
train_obs,load_balancer_overload,5.0,nika_set,
train_obs,load_balancer_overload,1.0,nika_set,
train_obs,sender_resource_contention,2.0,nika_set,
train_obs,sender_resource_contention,1.0,nika_set,
train_obs,sender_resource_contention,1.0,nika_set,
train_obs,receiver_resource_contention,1.0,nika_set,
train_obs,receiver_resource_contention,1.0,nika_set,
train_obs,receiver_resource_contention,1.0,nika_set,
train_obs,ospf_area_misconfiguration,5.0,nika_set,
train_obs,ospf_area_misconfiguration,5.0,nika_set,
train_obs,ospf_area_misconfiguration,2.0,nika_set,
train_obs,ospf_neighbor_missing,5.0,nika_set,
train_obs,ospf_neighbor_missing,5.0,nika_set,
train_obs,ospf_neighbor_missing,2.0,nika_set,
train_obs,frr_service_down,1.0,nika_set,
train_obs,frr_service_down,5.0,nika_set,
train_obs,frr_service_down,5.0,nika_set,
deployment_skip,host_ip_conflict,,deployment_skip,ValueError
deployment_skip,p4_aggressive_detection_thresholds,,deployment_skip,AttributeError
