family,ReAct (GPT-5)_n,ReAct (GPT-5)_overall,ReAct (GPT-5)_final,CC-Baseline_n,CC-Baseline_overall,CC-Baseline_final,SADE_n,SADE_overall,SADE_final
arp_acl_block,23,2.260869565217391,1.0434782608695652,23,3.347826086956522,2.3043478260869565,23,4.565217391304348,4.217391304347826
arp_cache_poisoning,23,3.391304347826087,2.608695652173913,23,3.5217391304347827,2.9130434782608696,23,3.608695652173913,2.9565217391304346
bgp_acl_block,7,2.2857142857142856,1.0,7,4.0,3.2857142857142856,7,5.0,5.0
bgp_asn_misconfig,7,4.714285714285714,4.428571428571429,7,5.0,5.0,7,5.0,5.0
bgp_blackhole_route_leak,7,5.0,5.0,7,5.0,5.0,7,4.714285714285714,4.571428571428571
bgp_hijacking,3,4.333333333333333,4.0,3,4.0,2.6666666666666665,3,4.333333333333333,3.6666666666666665
bgp_missing_route_advertisement,7,3.5714285714285716,2.857142857142857,7,4.285714285714286,3.7142857142857144,7,3.142857142857143,2.2857142857142856
bmv2_switch_down,4,3.5,2.5,4,5.0,5.0,4,4.75,5.0
dns_lookup_latency,3,5.0,5.0,3,5.0,5.0,3,4.333333333333333,5.0
dns_port_blocked,3,2.3333333333333335,1.3333333333333333,3,4.0,3.6666666666666665,3,4.0,3.6666666666666665
dns_record_error,3,5.0,5.0,3,5.0,5.0,3,5.0,5.0
dns_service_down,3,5.0,5.0,3,4.333333333333333,3.6666666666666665,3,5.0,5.0
flow_rule_loop,6,4.333333333333333,3.8333333333333335,6,4.5,4.333333333333333,6,4.166666666666667,4.333333333333333
flow_rule_shadowing,6,4.666666666666667,4.5,6,4.666666666666667,4.5,6,4.0,3.8333333333333335
frr_service_down,13,4.846153846153846,4.6923076923076925,13,4.923076923076923,4.846153846153846,13,5.0,5.0
host_crash,23,4.565217391304348,4.391304347826087,23,4.739130434782608,4.521739130434782,23,4.739130434782608,4.695652173913044
host_incorrect_dns,3,4.333333333333333,4.0,3,5.0,5.0,3,4.0,3.6666666666666665
host_incorrect_gateway,13,5.0,5.0,13,4.769230769230769,4.6923076923076925,13,4.846153846153846,4.6923076923076925
host_incorrect_ip,23,4.521739130434782,4.3478260869565215,23,4.608695652173913,4.434782608695652,23,4.565217391304348,4.434782608695652
host_incorrect_netmask,13,4.3076923076923075,3.769230769230769,13,3.923076923076923,3.1538461538461537,13,3.6153846153846154,2.923076923076923
host_ip_conflict,20,4.5,4.1,20,3.8,3.1,20,4.5,4.25
host_missing_ip,23,4.782608695652174,4.695652173913044,23,4.6521739130434785,4.521739130434782,23,4.826086956521739,4.695652173913044
host_static_blackhole,7,4.714285714285714,4.428571428571429,7,4.571428571428571,4.142857142857143,7,4.714285714285714,4.428571428571429
host_vpn_membership_missing,3,3.6666666666666665,3.0,3,4.333333333333333,3.6666666666666665,3,4.0,3.3333333333333335
http_acl_block,9,2.4444444444444446,1.3333333333333333,9,3.3333333333333335,2.5555555555555554,9,4.333333333333333,4.111111111111111
icmp_acl_block,21,2.380952380952381,1.0476190476190477,21,4.0476190476190474,3.6666666666666665,21,4.285714285714286,3.857142857142857
incast_traffic_network_limitation,9,3.2222222222222223,2.111111111111111,9,3.111111111111111,1.8888888888888888,9,4.777777777777778,4.555555555555555
link_bandwidth_throttling,21,2.9047619047619047,2.0952380952380953,21,4.0476190476190474,3.619047619047619,21,4.380952380952381,4.190476190476191
link_detach,23,4.565217391304348,4.173913043478261,23,3.6956521739130435,2.782608695652174,23,4.869565217391305,4.739130434782608
link_down,23,4.826086956521739,4.6521739130434785,23,4.565217391304348,4.304347826086956,23,4.565217391304348,4.521739130434782
link_flap,23,3.9130434782608696,3.3043478260869565,23,3.4347826086956523,2.391304347826087,23,4.478260869565218,4.304347826086956
link_fragmentation_disabled,23,3.0,1.6956521739130435,23,3.0,1.608695652173913,23,4.173913043478261,3.739130434782609
link_high_packet_corruption,23,4.782608695652174,4.565217391304348,23,4.478260869565218,4.130434782608695,23,4.478260869565218,4.3478260869565215
mac_address_conflict,23,2.4347826086956523,1.4782608695652173,23,2.0869565217391304,1.0,23,4.3478260869565215,3.869565217391304
mpls_label_limit_exceeded,1,3.0,2.0,1,3.0,2.0,1,3.0,1.0
ospf_acl_block,3,2.3333333333333335,1.3333333333333333,3,4.0,2.3333333333333335,3,5.0,5.0
ospf_area_misconfiguration,3,5.0,5.0,3,5.0,5.0,3,5.0,5.0
ospf_neighbor_missing,3,5.0,5.0,3,4.0,3.0,3,5.0,5.0
p4_compilation_error_parser_state,4,2.5,1.5,4,3.5,2.75,4,2.75,1.5
p4_header_definition_error,4,3.0,2.25,4,3.5,2.5,4,3.25,2.25
p4_table_entry_misconfig,4,3.25,2.5,4,4.25,3.25,4,3.0,2.0
p4_table_entry_missing,4,3.0,2.5,4,3.75,3.0,4,3.0,1.75
receiver_resource_contention,8,2.75,1.75,8,2.625,1.25,8,2.375,1.125
sdn_controller_crash,6,4.666666666666667,4.5,6,5.0,5.0,6,4.5,5.0
sender_application_delay,9,2.4444444444444446,1.0,9,2.5555555555555554,1.0,9,2.5555555555555554,1.0
sender_resource_contention,9,3.6666666666666665,3.111111111111111,9,2.7777777777777777,1.4444444444444444,9,2.6666666666666665,1.4444444444444444
southbound_port_block,6,2.8333333333333335,2.0,6,3.0,1.1666666666666667,6,4.666666666666667,4.333333333333333
southbound_port_mismatch,6,4.833333333333333,4.833333333333333,6,4.833333333333333,4.666666666666667,6,4.833333333333333,4.666666666666667
web_dos_attack,9,2.888888888888889,1.8888888888888888,9,3.111111111111111,2.111111111111111,9,4.0,3.5555555555555554
